time, dt.le, dt.lps, dt.re, dt.rps, dt.rsp, i.jx, i.jy, i.ld, i.ljs, i.lu, i.rjs, i.sd, i.sf, i.ssd, i.ssu, i.su, l.sl, lms.s, r.s, s.aes, s.aest, s.hf, s.m, s.sf, s.sp, so.fbe, so.fe, so.lbu, so.lu, so.sbrun, so.sbu, so.su, spid.vsp
195593, , , , , , , , , , , , , , , , , , , , -0.869999999999967, -95104.0, , -0.5427339330493851, , , , , , , , , , 
195793, , , , , , , , , , , , , , , , , , , , -0.8990000000000192, -99571.0, , -0.5392286480932252, , , , , , , , , , 
195993, , , , , , , , , , , , , , , , , , , , -0.860476190476158, -104039.0, , -0.5955701012014797, , , , , , , , , , 
196193, , , , , , , , , , , , , true, , , , , , , -0.9100000000000193, -108519.0, , -0.48712617124542157, , , true, true, , , , , , 
196393, -12.500000000000266, -0.006250000000000133, , , , , , , , , , , false, , , , , , , -0.8130000000000173, -112491.0, , -1.994727799949069, , , false, false, , , , , , 
196593, 0.0, 0.0, , , , , , , , , , , , , , , , , , -0.94400000000002, -117028.0, , -0.10750627142034501, , , , , , , , , , 
196793, , , , , , , , , , , , , , , , , , , , -0.9105000000000194, , , , , , , , , , , , , 
196893, , , , , , , , , , , , , , , , , , , , , -121450.0, , -0.6344368910076083, , , , , , , , , , 
196993, , , , , , , , , , , , , , , , , , , , -0.8970000000000191, , , , , , , , , , , , , 
197093, , , , , , , , , , , , , , , , , , , , , -125953.0, , -0.5135613155865558, , , , , , , , , , 
197193, , , , , , , , , , , , , , , , , , , , -0.9075000000000194, , , , , , , , , , , , , 
197293, , , , , , , , , , , , , , , , , , , , , -130416.0, , -0.554050602067653, , , , , , , , , , 
197393, , , , , , , , , , , , , , , , , , , , -0.9090000000000193, , , , , , , , , , , , , 
197493, , , , , , , , , , , , , , , , , , , , , -134894.0, , -0.5314965812054107, , , , , , , , , , 
197593, , , , , , , , , , , , , , , , , , , , -0.9025000000000192, , , , , , , , , , , , , 
197693, , , , , , , , , , , , , , , , , , , , , -139371.0, , -0.5350328562451069, , , , , , , , , , 
197793, , , , , , , , , , , , , , , , , , , , -0.9020000000000192, , , , , , , , , , , , , 
197893, , , , , , , , , , , , , , , , , , , , , -143845.0, , -0.5382710964872968, , , , , , , , , , 
197993, , , , , , , , , , , , , , , , , , , , -0.9015000000000192, , , , , , , , , , , , , 
198093, , , , , , , , , , , , , , , , , , , , , -148323.0, , -0.523865475870065, , , , , , , , , , 
