time, dt.le, dt.lps, dt.re, dt.rps, dt.rsp, i.jx, i.jy, i.ld, i.ljs, i.lu, i.rjs, i.sd, i.sf, i.ssd, i.ssu, i.su, l.sl, lms.s, r.s, s.aes, s.hf, s.m, s.sf, s.sp, so.fbe, so.fe, so.lbu, so.lu, so.sbrun, so.sbu, so.su, spid.nto, spid.vsp
60179, , , , , , , , , , , , , , , , , , , , , , -2.6849435177173625E-151, , , , , , , , , , , 
60379, , , , , , , , , , , , , , , , , , , , , , -7.584300887181474E-153, , , , , , , , , , , 
60579, , , , , , , , , , , , , , , , , , , , , , -2.142377281597506E-154, , , , , , , , , , , 
60779, , , , , , , , , , , , , , , , , , , , , , -6.051685560711983E-156, , , , , , , , , , , 
60979, , , , , , , , , , , , , , , , , , , , , , -1.709451385631821E-157, , , , , , , , , , , 
61179, , , , , , , , , , , , , , , , , , , , , , -4.828777058097434E-159, , , , , , , , , , , 
61379, , , , , , , , , , , , , , , , , , , , , , -1.3640100018515593E-160, , , , , , , , , , , 
61579, , , , , , , , , , , , , , , , , , , , , , -3.852990649115095E-162, , , , , , , , , , , 
61779, , , , , , , , , , , , , , , , , , , , , , -1.0883744930034574E-163, , , , , , , , , , , 
61979, , , , , , , , , , , , , , , , , , , , , , -3.0743885591640034E-165, , , , , , , , , , , 
62179, , , , , , , , , , , , , , , , , , , , , , -8.684386737726025E-167, , , , , , , , , , , 
62379, , , , , , , , , , , , , , , , , , , , , , -2.453124306151455E-168, , , , , , , , , , , 
62579, , , , , , , , , , , , , , , , , , , , , , -6.92946899208084E-170, , , , , , , , , , , 
62779, , , , , , , , , , , , , , , , , , , , , , -1.9574034789758134E-171, , , , , , , , , , , 
62979, , , , , , , , , , , , , , , , , , , , , , -5.529180351171588E-173, , , , , , , , , , , 
63179, , , , , , , , , , , , , , , , , , , , , , -1.5618565964631005E-174, , , , , , , , , , , 
63379, , , , , , , , , , , , , , , , , , , , , , -4.411858309882067E-176, , , , , , , , , , , 
63579, , , , , , , , , , , , , , , , , , , , , , -1.2462407746366556E-177, , , , , , , , , , , 
63779, , , , , , , , , , , , , , , , , , , , , , -3.520321731294419E-179, , , , , , , , , , , 
63979, , , , , , , , , , , , , , , , , , , , , , -9.944037576075012E-181, , , , , , , , , , , 
64179, , , , , , , , , , , , , , , , , , , , , , -2.808944490367144E-182, , , , , , , , , , , 
64379, , , , , , , , , , , , , , , , , , , , , , -7.934572943436365E-184, , , , , , , , , , , 
64579, , , , , , , , , , , , , , , , , , , , , , -2.2413204679058486E-185, , , , , , , , , , , 
64779, , , , , , , , , , , , , , , , , , , , , , -6.331175572605008E-187, , , , , , , , , , , 
64979, , , , , , , , , , , , , , , , , , , , , , -1.788400396334316E-188, , , , , , , , , , , 
65179, , , , , , , , , , , , , , , , , , , , , , -5.051788472662344E-190, , , , , , , , , , , 
65379, , , , , , , , , , , , , , , , , , , , , , -1.4270052067106247E-191, , , , , , , , , , , 
65579, , , , , , , , , , , , , , , , , , , , , , -4.0309365108987994E-193, , , , , , , , , , , 
65779, , , , , , , , , , , , , , , , , , , , , , -1.1386397946193292E-194, , , , , , , , , , , 
65979, , , , , , , , , , , , , , , , , , , , , , -3.216375595064038E-196, , , , , , , , , , , 
66079, , , , , , , , , , , , , , , , , , , , , , -9.085464970932367E-198, , , , , , , , , , , 
66279, , , , , , , , , , , , , , , , , , , , , , -2.5664189799448966E-199, , , , , , , , , , , 
66479, , , , , , , , , , , , , , , , , , , , , , -7.249498403982601E-201, , , , , , , , , , , 
66679, , , , , , , , , , , , , , , , , , , , , , -2.0478038667900863E-202, , , , , , , , , , , 
66879, , , , , , , , , , , , , , , , , , , , , , -5.784539071746922E-204, , , , , , , , , , , 
67079, , , , , , , , , , , , , , , , , , , , , , -1.6339891146419396E-205, , , , , , , , , , , 
67279, , , , , , , , , , , , , , , , , , , , , , -4.61561482021771E-207, , , , , , , , , , , 
67479, , , , , , , , , , , , , , , , , , , , , , -1.3037969456290872E-208, , , , , , , , , , , 
67679, , , , , , , , , , , , , , , , , , , , , , -3.682903668620157E-210, , , , , , , , , , , 
67879, , , , , , , , , , , , , , , , , , , , , , -1.0403291308364918E-211, , , , , , , , , , , 
68079, , , , , , , , , , , , , , , , , , , , , , -2.9386723027499132E-213, , , , , , , , , , , 
68279, , , , , , , , , , , , , , , , , , , , , , -8.301021904486847E-215, , , , , , , , , , , 
68479, , , , , , , , , , , , , , , , , , , , , , -2.344833229424375E-216, , , , , , , , , , , 
68679, , , , , , , , , , , , , , , , , , , , , , -6.62357350345124E-218, , , , , , , , , , , 
68879, , , , , , , , , , , , , , , , , , , , , , -1.87099557465719E-219, , , , , , , , , , , 
69079, , , , , , , , , , , , , , , , , , , , , , -5.285099408291876E-221, , , , , , , , , , , 
69279, , , , , , , , , , , , , , , , , , , , , , -1.4929097713469995E-222, , , , , , , , , , , 
69479, , , , , , , , , , , , , , , , , , , , , , -4.217100593957765E-224, , , , , , , , , , , 
69679, , , , , , , , , , , , , , , , , , , , , , -1.1912265403362671E-225, , , , , , , , , , , 
69879, , , , , , , , , , , , , , , , , , , , , , -3.364920135968954E-227, , , , , , , , , , , 
70079, , , , , , , , , , , , , , , , , , , , , , -9.505066532729436E-229, , , , , , , , , , , 
70279, , , , , , , , , , , , , , , , , , , , , , -2.6849460355943126E-230, , , , , , , , , , , 
70479, , , , , , , , , , , , , , , , , , , , , , -7.584307999560658E-232, , , , , , , , , , , 
70679, , , , , , , , , , , , , , , , , , , , , , -2.1423792906685877E-233, , , , , , , , , , , 
70979, , , , , , , , , , , , , , , , , , , , , , -6.051691235840522E-235, , , , , , , , , , , 
71179, , , , , , , , , , , , , , , , , , , , , , -1.7094529887151684E-236, , , , , , , , , , , 
71379, , , , , , , , , , , , , , , , , , , , , , -4.828781586411111E-238, , , , , , , , , , , 
71579, , , , , , , , , , , , , , , , , , , , , , -1.3640112809880926E-239, , , , , , , , , , , 
71779, , , , , , , , , , , , , , , , , , , , , , -3.852994262359202E-241, , , , , , , , , , , 
71979, , , , , , , , , , , , , , , , , , , , , , -1.0883755136554863E-242, , , , , , , , , , , 
72179, , , , , , , , , , , , , , , , , , , , , , -3.074391442253361E-244, , , , , , , , , , , 
72379, , , , , , , , , , , , , , , , , , , , , , -8.684394881739869E-246, , , , , , , , , , , 
72479, , , , , , , , , , , , , , , , , , , , , , -2.4531266066337938E-247, , , , , , , , , , , 
72779, , , , , , , , , , , , , , , , , , , , , , -6.929475490374056E-249, , , , , , , , , , , 
72979, , , , , , , , , , , , , , , , , , , , , , -1.957405314582807E-250, , , , , , , , , , , 
73179, , , , , , , , , , , , , , , , , , , , , , -5.529185536307014E-252, , , , , , , , , , , 
73379, , , , , , , , , , , , , , , , , , , , , , -1.5618580611355214E-253, , , , , , , , , , , 
73579, , , , , , , , , , , , , , , , , , , , , , -4.411862447219134E-255, , , , , , , , , , , 
73779, , , , , , , , , , , , , , , , , , , , , , -1.2462419433319732E-256, , , , , , , , , , , 
73979, , , , , , , , , , , , , , , , , , , , , , -3.5203250325694274E-258, , , , , , , , , , , 
74179, , , , , , , , , , , , , , , , , , , , , , -9.944046901359816E-260, , , , , , , , , , , 
74379, , , , , , , , , , , , , , , , , , , , , , -2.8089471245292913E-261, , , , , , , , , , , 
74579, , , , , , , , , , , , , , , , , , , , , , -7.93458038429245E-263, , , , , , , , , , , 
74779, , , , , , , , , , , , , , , , , , , , , , -2.2413225697635245E-264, , , , , , , , , , , 
74979, , , , , , , , , , , , , , , , , , , , , , -6.331181509832711E-266, , , , , , , , , , , 
75179, , , , , , , , , , , , , , , , , , , , , , -1.78840207345419E-267, , , , , , , , , , , 
75379, , , , , , , , , , , , , , , , , , , , , , -5.0517932101108825E-269, , , , , , , , , , , 
75579, , , , , , , , , , , , , , , , , , , , , , -1.42700654492258E-270, , , , , , , , , , , 
75779, , , , , , , , , , , , , , , , , , , , , , -4.030940291016352E-272, , , , , , , , , , , 
75979, , , , , , , , , , , , , , , , , , , , , , -1.1386408624089758E-273, , , , , , , , , , , 
76179, , , , , , , , , , , , , , , , , , , , , , -3.2163786113054995E-275, , , , , , , , , , , 
76379, , , , , , , , , , , , , , , , , , , , , , -9.085473491067948E-277, , , , , , , , , , , 
