time, dt.le, dt.lps, dt.re, dt.rps, dt.rsp, i.jx, i.jy, i.ld, i.ljs, i.lu, i.rjs, i.sd, i.sf, i.ssd, i.ssu, i.su, l.sl, lms.s, r.s, s.aes, s.hf, s.m, s.sf, s.sp, so.fbe, so.fe, so.lbu, so.lu, so.sbrun, so.sbu, so.su, spid.vsp
86498, , , 0.0, 0.0, , , , , , , , , , , true, , , , , -21513.157894730663, , -0.5947279352619498, , -0.87, , , , , , , , 
86698, , , , , , , , , , , , , , , false, , , , , -22210.526315783096, , -0.3694478443268908, , , , , , , , , , 
86898, , , , , , , , , , , , , , , , , , , , -21881.578947362137, , -0.48427505587866104, , , , , , , , , , 
87098, , , , , , , , , , , , , , , , , , , , -21842.10526315162, , -0.4725737940610525, , , , , , , , , , 
87298, , , , , , , , , , , , , , , , , , , , -22197.368421046256, , -0.3813860750729036, , , , , , , , , , 
87498, , , , , , , , , , , , , , , true, , , , , -21287.50000001936, , -0.7920498009777566, , -0.9, , , , , , , , 
87698, , , , , , , , , , , , , , , false, , , , , -22368.421052625155, , -0.44428648983853236, , , , , , , , , , 
87898, , , , , , , , , , , , , , , , , , , , -21987.500000019998, , -0.5166482451009142, , , , , , , , , , 
88098, , , , , , , , , , , , , , , , , , , , -21400.000000019463, , -0.5766108424390186, , , , , , , , , , 
88298, , , , , , , , , , , , , , , , , , , , -22697.368421046114, , -0.41556397023324826, , , , , , , , , , 
88498, , , , , , , , , , , , , , , , , , , , -21912.49999995765, , -0.5123154542733591, , , , , , , , , , 
88698, , , , , , , , , , , , , , , , , , , , -21849.99999995777, , -0.5599730847189421, , , , , , , , , , 
88898, , , , , , , , , , , , , , , , , , , , -22973.684210519717, , -0.3584108785677672, , , , , , , , , , 
89098, , , , , , , , , , , , , , , , , , , , -21750.000000019783, , -0.5162509199736615, , , , , , , , , , 
89298, , , , , , , , , , , , , , , , , , , , -22631.578947361922, , -0.44813922667013684, , , , , , , , , , 
89498, , , , , , , , , , , , , , , , , , , , -21687.499999958087, , -0.5097795491781107, , , , , , , , , , 
89698, , , , , , , , , , , , , , , , , , , , -22763.157894730306, , -0.3970033936125874, , , , , , , , , , 
89898, , , , , , , , , , , , , , , , , , , , -20964.285714270733, , -0.5691263476115691, , , , , , , , , , 
90098, , , , , , , , , , , , , , , , , , , , -22460.526315783023, , -0.4406137097993342, , , , , , , , , , 
90298, , , , , , , , , , , , , , , , , , , , -21925.00000001994, , -0.5231234053375138, , , , , , , , , , 
